GeoFIPS,GeoName,Region,ComponentId,ComponentName,IndustryId,IndustryClassification,Description,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4
8000,Colorado,7,200,Gross domestic product (GDP) by state,6,21,   Mining,19349,19805,20161,18765,15018,15448,13055,10672,9142,10513,10884,11651
8000,Colorado,7,200,Gross domestic product (GDP) by state,10,22,   Utilities,4251,4075,3960,3984,4286,4274,4308,4287,4364,4351,4507,4509
8000,Colorado,7,200,Gross domestic product (GDP) by state,11,23,   Construction,14969,15319,15648,16302,16612,16883,17287,17666,18291,18335,18786,19203
8000,Colorado,7,200,Gross domestic product (GDP) by state,12,31-33,   Manufacturing,21302,21720,22137,22119,22520,22194,22371,22607,22523,22243,22817,22736
8000,Colorado,7,200,Gross domestic product (GDP) by state,13,...,     Durable goods manufacturing,13014,13164,13339,13564,13893,13598,13831,14013,14020,13786,14187,14157
8000,Colorado,7,200,Gross domestic product (GDP) by state,25,...,     Nondurable goods manufacturing,8288,8556,8798,8554,8627,8596,8540,8594,8503,8457,8630,8580
8000,Colorado,7,200,Gross domestic product (GDP) by state,34,42,   Wholesale trade,16312,16820,17310,17519,17486,17724,17731,18011,17754,17789,18017,18187
8000,Colorado,7,200,Gross domestic product (GDP) by state,35,44-45,   Retail trade,15944,16396,16582,17102,16977,17269,17543,17756,17914,17980,18143,18255
8000,Colorado,7,200,Gross domestic product (GDP) by state,36,48-49,   Transportation and warehousing,9666,10066,10514,10773,10836,10919,10972,11013,11152,11227,11218,11467
8000,Colorado,7,200,Gross domestic product (GDP) by state,45,51,   Information,18127,17708,17906,19395,17230,18043,18286,18757,18072,18954,20061,20056
8000,Colorado,7,200,Gross domestic product (GDP) by state,51,52,   Finance and insurance,16586,17336,17350,17707,17894,17702,17811,17757,18232,18356,19232,19550
8000,Colorado,7,200,Gross domestic product (GDP) by state,56,53,   Real estate and rental and leasing,39546,40509,42406,42714,43315,43248,43904,44587,45805,46290,46490,46267
8000,Colorado,7,200,Gross domestic product (GDP) by state,60,54,"   Professional, scientific, and technical services",26080,26477,27322,27680,27713,28341,28681,28992,29343,29798,30249,30508
8000,Colorado,7,200,Gross domestic product (GDP) by state,64,55,   Management of companies and enterprises,6160,6527,6367,6720,6821,6877,6886,7150,6577,6233,6832,6842
8000,Colorado,7,200,Gross domestic product (GDP) by state,65,56,   Administrative and waste management services,9133,9296,9430,9634,9715,9802,9972,10096,10108,10313,10460,10656
8000,Colorado,7,200,Gross domestic product (GDP) by state,69,61,   Educational services,2316,2333,2375,2378,2327,2372,2399,2454,2424,2436,2449,2524
8000,Colorado,7,200,Gross domestic product (GDP) by state,70,62,   Health care and social assistance,17782,17933,18309,18699,18748,19189,19403,19781,19999,20497,21092,21551
8000,Colorado,7,200,Gross domestic product (GDP) by state,75,71,"   Arts, entertainment, and recreation",4267,4260,4408,4416,4664,4698,4899,4969,4999,5108,5301,5430
8000,Colorado,7,200,Gross domestic product (GDP) by state,78,72,   Accommodation and food services,9189,9353,9557,9689,9892,10075,10243,10487,10497,10621,10848,11012
8000,Colorado,7,200,Gross domestic product (GDP) by state,81,81,"   Other services, except government",6698,6839,7027,7134,7087,7234,7285,7424,7521,7612,7761,7830
8000,Colorado,7,200,Gross domestic product (GDP) by state,82,92, Government,36649,37035,37315,37545,38254,38491,38942,38893,39609,39852,40034,40215
9000,Connecticut,1,200,Gross domestic product (GDP) by state,1,...,All industry total,240496,242424,246514,249701,250628,256514,257895,260185,260604,262341,263973,266597
9000,Connecticut,1,200,Gross domestic product (GDP) by state,2,..., Private industries,214760,216553,220458,223481,224208,229735,231127,232914,233789,235462,236692,239159
9000,Connecticut,1,200,Gross domestic product (GDP) by state,3,11,"   Agriculture, forestry, fishing, and hunting",359,343,306,292,281,279,270,263,253,257,259,260
9000,Connecticut,1,200,Gross domestic product (GDP) by state,6,21,   Mining,181,211,234,234,221,277,280,272,269,319,346,375
9000,Connecticut,1,200,Gross domestic product (GDP) by state,10,22,   Utilities,4437,4360,4513,4797,4230,4455,4643,4616,4593,4557,4704,4649
9000,Connecticut,1,200,Gross domestic product (GDP) by state,11,23,   Construction,7062,7192,7356,7555,7508,7939,8193,8454,8760,8563,8361,8477
9000,Connecticut,1,200,Gross domestic product (GDP) by state,12,31-33,   Manufacturing,27025,27510,27955,28234,27805,28679,28982,28738,28080,28382,28716,28889
