date,net_change,total_expand,expand_establish,open_establish,total_contract,contract_establish,end_establish,industry
12/31/13,2,281,244,37,279,242,37,Natural resources and mining
3/31/14,34,289,252,37,255,221,34,Natural resources and mining
6/30/14,12,283,248,35,271,234,37,Natural resources and mining
9/30/14,33,287,249,38,254,221,33,Natural resources and mining
12/31/14,-5,281,244,37,286,251,35,Natural resources and mining
3/31/15,-16,284,249,35,300,266,34,Natural resources and mining
6/30/15,-66,265,231,34,331,295,36,Natural resources and mining
9/30/15,-42,247,213,34,289,253,36,Natural resources and mining
12/31/15,-52,249,215,34,301,265,36,Natural resources and mining
3/31/16,-20,258,223,35,278,244,34,Natural resources and mining
6/30/16,-33,262,230,32,295,262,33,Natural resources and mining
9/30/16,-9,248,216,32,257,225,32,Natural resources and mining
12/31/16,-17,252,220,32,269,238,31,Natural resources and mining
3/31/17,52,290,254,36,238,203,35,Natural resources and mining
6/30/17,7,270,237,33,263,225,38,Natural resources and mining
9/30/17,10,253,220,33,243,212,31,Natural resources and mining
12/31/17,-2,256,223,33,258,227,31,Natural resources and mining
3/31/18,18,254,224,30,236,206,30,Natural resources and mining
9/30/92,84,1070,855,215,986,796,190,Retail trade
12/31/92,-9,1020,800,220,1029,859,170,Retail trade
3/31/93,49,1095,820,275,1046,817,229,Retail trade
6/30/93,69,1064,858,206,995,819,176,Retail trade
9/30/93,165,1116,909,207,951,783,168,Retail trade
12/31/93,66,1074,850,224,1008,843,165,Retail trade
3/31/94,106,1127,918,209,1021,829,192,Retail trade
6/30/94,110,1133,915,218,1023,833,190,Retail trade
9/30/94,256,1202,982,220,946,788,158,Retail trade
12/31/94,72,1111,888,223,1039,864,175,Retail trade
3/31/95,93,1163,933,230,1070,895,175,Retail trade
6/30/95,13,1107,890,217,1094,907,187,Retail trade
9/30/95,188,1182,983,199,994,820,174,Retail trade
12/31/95,4,1110,884,226,1106,924,182,Retail trade
3/31/96,84,1184,936,248,1100,895,205,Retail trade
6/30/96,43,1143,928,215,1100,919,181,Retail trade
9/30/96,108,1164,962,202,1056,864,192,Retail trade
12/31/96,87,1175,934,241,1088,912,176,Retail trade
3/31/97,72,1191,924,267,1119,909,210,Retail trade
6/30/97,-15,1092,880,212,1107,941,166,Retail trade
9/30/97,136,1198,1000,198,1062,859,203,Retail trade
12/31/97,56,1209,959,250,1153,938,215,Retail trade
3/31/98,26,1181,928,253,1155,939,216,Retail trade
6/30/98,46,1192,935,257,1146,949,197,Retail trade
9/30/98,146,1228,999,229,1082,885,197,Retail trade
12/31/98,92,1192,965,227,1100,907,193,Retail trade
3/31/99,93,1236,992,244,1143,924,219,Retail trade
6/30/99,42,1210,965,245,1168,948,220,Retail trade
9/30/99,132,1238,1000,238,1106,894,212,Retail trade
12/31/99,115,1229,983,246,1114,914,200,Retail trade
3/31/00,116,1268,1020,248,1152,947,205,Retail trade
6/30/00,29,1168,955,213,1139,950,189,Retail trade
9/30/00,31,1184,968,216,1153,953,200,Retail trade
12/31/00,57,1195,983,212,1138,951,187,Retail trade
3/31/01,-17,1187,979,208,1204,1001,203,Retail trade
6/30/01,-130,1102,893,209,1232,1022,210,Retail trade
9/30/01,-108,1083,882,201,1191,981,210,Retail trade
12/31/01,-90,1061,852,209,1151,966,185,Retail trade
3/31/02,74,1142,920,222,1068,894,174,Retail trade
6/30/02,7,1093,883,210,1086,910,176,Retail trade
9/30/02,-1,1065,857,208,1066,903,163,Retail trade
12/31/02,-50,1047,868,179,1097,919,178,Retail trade
3/31/03,-86,987,809,178,1073,911,162,Retail trade
6/30/03,31,1032,861,171,1001,838,163,Retail trade
9/30/03,98,1045,872,173,947,805,142,Retail trade
12/31/03,39,1065,878,187,1026,869,157,Retail trade
3/31/04,77,1097,908,189,1020,861,159,Retail trade
6/30/04,85,1055,871,184,970,817,153,Retail trade
9/30/04,-28,1059,855,204,1087,899,188,Retail trade
12/31/04,99,1080,891,189,981,827,154,Retail trade
3/31/05,60,1052,875,177,992,847,145,Retail trade
6/30/05,43,1046,868,178,1003,856,147,Retail trade
9/30/05,79,1107,918,189,1028,860,168,Retail trade
12/31/05,36,1071,879,192,1035,887,148,Retail trade
3/31/06,98,1090,922,168,992,843,149,Retail trade
6/30/06,-61,1059,866,193,1120,961,159,Retail trade
9/30/06,-14,1052,867,185,1066,902,164,Retail trade
12/31/06,76,1087,892,195,1011,866,145,Retail trade
3/31/07,151,1132,965,167,981,834,147,Retail trade
6/30/07,-41,1024,862,162,1065,927,138,Retail trade
9/30/07,-24,1024,835,189,1048,909,139,Retail trade
