GeoName,year,Compensation of employees,Gross domestic product (GDP) by state,Gross operating surplus,Per capita real GDP by state,Quantity indexes for real GDP by state,Real GDP by state,Subsidies,Taxes on production and imports,Taxes on production and imports less subsidies
North Carolina,2001,160458,291540,115246,42571,85.473,349509,-1552,17388,15835
North Dakota,2001,10773,19002,7026,36030,71.146,23026,-363,1565,1202
Ohio,2001,234231,396626,138101,41723,99.418,475121,-1352,25646,24294
Oklahoma,2001,55132,97682,36435,35201,85.121,122046,-528,6643,6116
Oregon,2001,69590,117362,43025,37387,71.545,129656,-798,5544,4746
Pennsylvania,2001,252121,428099,150033,42794,92.701,526324,-1757,27702,25944
Rhode Island,2001,20760,36117,12599,41818,92.486,44208,-124,2881,2757
South Carolina,2001,69421,121361,43916,36309,91.650,147597,-438,8463,8024
South Dakota,2001,12375,24399,10605,36912,76.644,27978,-466,1885,1419
Tennessee,2001,105389,188482,70250,39175,91.090,225286,-646,13488,12843
Texas,2001,423654,787653,304371,45462,82.736,969236,-3086,62713,59628
Utah,2001,41967,74191,27727,39255,78.278,89648,-334,4832,4498
Vermont,2001,11584,19172,6069,37249,90.415,22805,-107,1627,1520
Virginia,2001,167327,284595,100810,48211,84.680,347037,-924,17382,16458
Washington,2001,134653,240894,86804,48704,82.982,291529,-1390,20826,19436
West Virginia,2001,25361,43700,14795,31992,90.782,57633,-110,3654,3544
Wisconsin,2001,113571,188164,61384,41862,92.078,226341,-1031,14240,13209
Wyoming,2001,9023,18809,8073,53536,71.160,26482,-114,1827,1713
Alabama,2002,74283,130180,48401,34716,91.711,155529,-429,7924,7495
Alaska,2002,15675,29808,12026,60167,76.509,38647,-74,2181,2107
Arizona,2002,97700,179892,70045,39387,87.430,212543,-535,12683,12148
Arkansas,2002,41495,74243,27640,32647,88.255,88341,-364,5472,5108
California,2002,794225,1449536,567877,48417,88.228,1688390,-7351,94786,87434
Colorado,2002,106634,189464,71946,49809,89.436,223663,-654,11538,10884
Connecticut,2002,97251,174856,65780,60174,92.061,208127,-471,12296,11825
Delaware,2002,20537,43046,20612,62003,88.666,49985,-126,2023,1897
District of Columbia,2002,48492,69608,19376,150066,86.935,86011,-491,2230,1740
Florida,2002,308799,550486,192236,39457,91.217,658520,-2021,51472,49451
Georgia,2002,176740,323644,127139,44740,94.521,380661,-924,20689,19764
Hawaii,2002,26197,45185,15592,44324,84.549,54945,-209,3606,3397
Idaho,2002,21663,39185,15176,33882,84.363,45414,-309,2656,2347
Illinois,2002,297690,514227,182403,48951,95.809,613144,-1963,36097,34134
Indiana,2002,121186,214788,80883,41034,95.909,252606,-597,13316,12719
Iowa,2002,54503,100359,39959,40112,86.164,117697,-770,6667,5897
Kansas,2002,53825,92953,32863,40525,89.819,109966,-446,6712,6265
Kentucky,2002,71383,123928,43530,36437,95.458,149023,-401,9415,9015
Louisiana,2002,74813,141797,56161,42054,90.273,189128,-372,11196,10823
Maine,2002,23670,40050,12757,37195,95.980,48203,-125,3748,3623
Maryland,2002,126405,218525,79487,48080,86.253,261575,-698,13331,12634
Massachusetts,2002,179030,302972,109292,55021,92.250,353084,-1122,15773,14650
Michigan,2002,214834,365288,127522,42054,114.956,421199,-863,23796,22933
Minnesota,2002,122776,206098,70402,48572,93.956,243779,-914,13835,12920
Mississippi,2002,40117,69443,23644,29150,90.399,83332,-254,5936,5682
Missouri,2002,115049,196807,69848,41348,94.017,234643,-598,12508,11910
Montana,2002,13575,23941,8853,32802,83.988,29904,-178,1691,1513
Nebraska,2002,35828,62305,22872,43012,85.747,74338,-503,4108,3605
Nevada,2002,46750,84643,31343,47925,87.193,104179,-220,6771,6551
New Hampshire,2002,27535,47510,16506,43903,91.819,55717,-115,3584,3469
New Jersey,2002,219541,388030,137715,54313,95.938,464517,-1306,32080,30774
New Mexico,2002,30117,58845,25013,38676,86.775,71755,-211,3925,3715
New York,2002,487117,879623,337569,54177,90.638,1036827,-4511,59448,54937
North Carolina,2002,163388,301781,120606,42607,86.756,354755,-883,18671,17787
North Dakota,2002,11221,20322,7798,38040,75.009,24276,-317,1620,1303
Ohio,2002,237670,411997,148669,42613,101.720,486119,-1145,26803,25658
Oklahoma,2002,56173,99532,37121,35305,85.914,123183,-404,6641,6238
Oregon,2002,70030,121998,46875,37916,73.510,133216,-623,5716,5094
Pennsylvania,2002,257651,440514,155904,43153,93.721,532116,-1498,28457,26959
Rhode Island,2002,21755,38231,13589,42917,95.711,45750,-125,3013,2888
South Carolina,2002,71107,126044,46553,36670,93.535,150633,-302,8686,8384
South Dakota,2002,12893,27334,12751,40794,84.934,31004,-274,1964,1690
Tennessee,2002,108385,197724,75634,40084,93.936,232325,-454,14159,13705
Texas,2002,426052,801155,310969,45381,84.025,984329,-2197,66332,64135
Utah,2002,42836,76711,29220,39134,79.441,90980,-216,4871,4655
Vermont,2002,11964,20073,6437,38218,93.254,23521,-75,1746,1671
Virginia,2002,170963,292387,103652,47854,85.087,348708,-732,18504,17772
Washington,2002,135893,249942,93854,49058,84.515,296915,-1124,21319,20195
West Virginia,2002,25914,45086,15512,32266,91.760,58254,-95,3756,3660
Wisconsin,2002,116876,195546,64548,42530,94.209,231581,-740,14861,14121
Wyoming,2002,9493,19268,7847,53786,72.269,26894,-61,1990,1929
Alabama,2003,77281,136270,51162,35374,93.937,159304,-549,8375,7827
Alaska,2003,16523,32125,13361,59169,75.952,38366,-101,2342,2241
Arizona,2003,102227,192663,77536,40763,92.398,224621,-656,13556,12900
Arkansas,2003,43392,78882,30302,33792,91.988,92078,-497,5685,5188
California,2003,828746,1535202,617669,49815,91.767,1756127,-8019,96807,88788
Colorado,2003,108771,195704,75988,49838,90.252,225705,-813,11757,10945
Connecticut,2003,100231,181750,68854,60848,93.781,212016,-537,13202,12665
Delaware,2003,21371,46092,22714,63863,92.667,52240,-149,2156,2007
District of Columbia,2003,51058,73846,20607,155044,89.089,88143,-526,2706,2180
Florida,2003,326761,585729,206024,40364,95.072,686354,-2409,55353,52944
Georgia,2003,183171,335367,131774,45015,96.381,388155,-1224,21646,20422
Hawaii,2003,27991,48559,16963,45926,88.421,57461,-279,3884,3605
Idaho,2003,22468,41125,16085,34383,87.081,46877,-313,2886,2572
Illinois,2003,303227,531957,192955,49579,97.273,622516,-2407,38182,35775
Indiana,2003,124898,225933,87250,42222,99.337,261636,-793,14578,13785
Iowa,2003,56507,106935,44387,41762,89.947,122863,-858,6900,6042
Kansas,2003,54993,97651,35998,41414,92.109,112771,-641,7301,6659
Kentucky,2003,74313,128804,45685,36949,97.445,152124,-474,9280,8807
Louisiana,2003,77828,157562,68707,43636,94.163,197278,-456,11483,11027
Maine,2003,24657,41858,13355,37783,98.291,49364,-146,3992,3846
Maryland,2003,132447,229840,84258,48920,88.661,268879,-829,13964,13135
Massachusetts,2003,181793,315339,117981,56337,94.535,361829,-1263,16828,15565
Michigan,2003,219017,377462,133596,42768,117.204,429436,-1054,25902,24848
Minnesota,2003,127709,218061,77460,50149,97.676,253431,-1140,14032,12892
Mississippi,2003,41550,73982,26560,30212,94.006,86656,-356,6228,5872
Missouri,2003,118518,205338,74707,42089,96.286,240305,-810,12922,12113
Montana,2003,14288,25788,9893,33915,87.598,31189,-205,1813,1608
Nebraska,2003,37318,67656,26504,45401,91.051,78936,-821,4654,3833
Nevada,2003,50251,90419,33443,48498,91.281,109064,-308,7033,6725
New Hampshire,2003,28664,50276,17855,45403,95.760,58108,-141,3899,3757
New Jersey,2003,226498,404905,145603,55304,98.246,475691,-1511,34315,32804
New Mexico,2003,31753,63576,27963,39482,89.647,74130,-243,4103,3860
New York,2003,499977,898559,337725,54161,90.792,1038596,-4796,65654,60857
North Carolina,2003,168914,313917,126233,43098,88.770,362994,-1032,19802,18770
North Dakota,2003,11842,22295,9112,40429,79.802,25827,-450,1792,1342
Ohio,2003,245211,426295,154352,43223,103.421,494250,-1345,28076,26731
Oklahoma,2003,57744,106105,41728,35822,87.565,125551,-447,7079,6632
Oregon,2003,72512,128009,50291,38985,76.313,138296,-721,5927,5206
Pennsylvania,2003,266069,458434,163271,43853,95.579,542660,-1758,30852,29094
Rhode Island,2003,23011,40672,14517,44491,99.719,47665,-150,3292,3143
South Carolina,2003,74353,132485,48982,37550,96.770,155842,-386,9536,9149
South Dakota,2003,13499,28733,13602,41738,87.324,31876,-434,2065,1632
Tennessee,2003,113148,206546,78644,40915,96.742,239264,-567,15321,14754
Texas,2003,437811,844435,339766,44959,84.550,990481,-2778,69636,66858
Utah,2003,44188,80130,31055,39383,81.161,92950,-275,5162,4887
Vermont,2003,12485,21232,6910,39662,97.157,24505,-88,1925,1838
Virginia,2003,181011,309648,109524,49095,88.253,361681,-876,19989,19113
Washington,2003,140367,260027,98617,49457,85.932,301892,-1365,22408,21043
West Virginia,2003,26643,46471,16011,32246,92.051,58439,-106,3923,3817
Wisconsin,2003,121225,204649,68747,43553,97.079,238635,-873,15550,14677
Wyoming,2003,9989,21251,9095,54908,74.282,27643,-84,2250,2166
Alabama,2004,81948,148769,58470,37181,99.335,168458,-504,8855,8351
Alaska,2004,17463,35510,15602,60696,79.219,40016,-85,2531,2446
Arizona,2004,110580,204659,80282,41169,95.722,232702,-607,14404,13797
Arkansas,2004,45978,85315,33647,35021,96.203,96297,-453,6143,5690
California,2004,885226,1643908,663305,51424,95.595,1829371,-7922,103299,95377
Colorado,2004,114081,205347,79359,50234,91.899,229823,-683,12590,11907
Connecticut,2004,106710,198921,79224,64579,99.867,225775,-559,13546,12988
