contract_establish,end_establish,expand_establish,month,net_change,open_establish,state,total_contract,total_expand,year
20483,5612,22308,March,1480,5267,Montana,26095,27575,2012.0
21303,4972,22799,June,2530,6006,Montana,26275,28805,2012.0
20620,5050,21726,September,1905,5849,Montana,25670,27575,2012.0
21417,5938,22649,December,1566,6272,Montana,27355,28921,2012.0
21196,5515,22796,March,2069,5984,Montana,26711,28780,2013.0
22361,5063,22710,June,1062,5776,Montana,27424,28486,2013.0
21872,5034,21749,September,563,5720,Montana,26906,27469,2013.0
21349,5316,23282,December,2852,6235,Montana,26665,29517,2013.0
21510,7106,21050,March,-2390,5176,Montana,28616,26226,2014.0
21565,5769,23286,June,2058,6106,Montana,27334,29392,2014.0
23229,5562,22317,September,167,6641,Montana,28791,28958,2014.0
20641,8310,24188,December,1561,6324,Montana,28951,30512,2014.0
21205,5159,22604,March,7211,10971,Montana,26364,33575,2015.0
22621,8089,23438,June,-1519,5753,Montana,30710,29191,2015.0
22891,5234,21651,September,-214,6260,Montana,28125,27911,2015.0
21945,4830,24821,December,4722,6676,Montana,26775,31497,2015.0
21563,5716,24039,March,1812,5052,Montana,27279,29091,2016.0
24638,7348,22735,June,-2427,6824,Montana,31986,29559,2016.0
22546,6057,22329,September,-226,6048,Montana,28603,28377,2016.0
22356,5486,22840,December,1234,6236,Montana,27842,29076,2016.0
21426,5375,24872,March,3547,5476,Montana,26801,30348,2017.0
23506,5600,23653,June,586,6039,Montana,29106,29692,2017.0
23417,6320,21216,September,-2930,5591,Montana,29737,26807,2017.0
22036,5725,25019,December,4066,6808,Montana,27761,31827,2017.0
16615,4924,17402,September,1180,5317,Montana,21539,22719,1992.0
16603,4212,16543,December,-110,4162,Montana,20815,20705,1992.0
15809,4507,17197,March,2085,5204,Montana,20316,22401,1993.0
14977,4047,18879,June,5554,5699,Montana,19024,24578,1993.0
16601,4928,18204,September,3105,6430,Montana,21529,24634,1993.0
18185,5493,18558,December,377,5497,Montana,23678,24055,1993.0
17768,4140,18792,March,1936,5052,Montana,21908,23844,1994.0
15152,3966,19647,June,6541,6012,Montana,19118,25659,1994.0
16673,5823,21767,September,6207,6936,Montana,22496,28703,1994.0
19696,5852,19710,December,289,6127,Montana,25548,25837,1994.0
19857,4681,23044,March,3160,4654,Montana,24538,27698,1995.0
17075,7210,19833,June,1314,5766,Montana,24285,25599,1995.0
18318,3628,21559,September,5632,6019,Montana,21946,27578,1995.0
20081,4893,17755,December,-1674,5545,Montana,24974,23300,1995.0
20021,4396,20637,March,2345,6125,Montana,24417,26762,1996.0
19047,4942,20873,June,3049,6165,Montana,23989,27038,1996.0
19538,6424,21912,September,3581,7631,Montana,25962,29543,1996.0
21310,5656,19208,December,-1726,6032,Montana,26966,25240,1996.0
20796,5591,19365,March,-1582,5440,Montana,26387,24805,1997.0
18093,4983,21053,June,4971,6994,Montana,23076,28047,1997.0
20657,6049,21776,September,1935,6865,Montana,26706,28641,1997.0
20711,5321,20558,December,1783,7257,Montana,26032,27815,1997.0
21824,5995,21146,March,2015,8688,Montana,27819,29834,1998.0
21137,6572,21047,June,349,7011,Montana,27709,28058,1998.0
19619,5912,21864,September,3865,7532,Montana,25531,29396,1998.0
20382,4960,21981,December,2036,5397,Montana,25342,27378,1998.0
21287,5316,21941,March,1604,6266,Montana,26603,28207,1999.0
20488,7152,21556,June,145,6229,Montana,27640,27785,1999.0
19759,6496,22351,September,2870,6774,Montana,26255,29125,1999.0
19497,8286,21555,December,-1375,4853,Montana,27783,26408,1999.0
20294,5611,21948,March,5658,9615,Montana,25905,31563,2000.0
20730,8009,22526,June,736,6949,Montana,28739,29475,2000.0
22393,8079,23156,September,-599,6717,Montana,30472,29873,2000.0
21040,7475,21406,December,-1050,6059,Montana,28515,27465,2000.0
21276,7424,24053,March,5365,10012,Montana,28700,34065,2001.0
21988,6732,21660,June,-842,6218,Montana,28720,27878,2001.0
21808,7406,21748,September,-1259,6207,Montana,29214,27955,2001.0
20722,5102,20564,December,381,5641,Montana,25824,26205,2001.0
20831,5950,21418,March,1641,7004,Montana,26781,28422,2002.0
19781,5072,21783,June,3512,6582,Montana,24853,28365,2002.0
21424,8056,21492,September,-980,7008,Montana,29480,28500,2002.0
20768,5194,20789,December,1812,6985,Montana,25962,27774,2002.0
20608,6631,21415,March,1312,7136,Montana,27239,28551,2003.0
22096,7057,22096,June,-1086,5971,Montana,29153,28067,2003.0
21709,6798,22066,September,29,6470,Montana,28507,28536,2003.0
20576,6220,22517,December,3918,8197,Montana,26796,30714,2003.0
19520,5319,22405,March,3906,6340,Montana,24839,28745,2004.0
20851,5802,22953,June,2974,6674,Montana,26653,29627,2004.0
20941,5443,21025,September,537,5896,Montana,26384,26921,2004.0
20161,5254,24024,December,4787,6178,Montana,25415,30202,2004.0
20594,5734,24227,March,3871,5972,Montana,26328,30199,2005.0
22022,5955,22191,June,321,6107,Montana,27977,28298,2005.0
21177,4965,22913,September,3611,6840,Montana,26142,29753,2005.0
21390,5105,24176,December,3943,6262,Montana,26495,30438,2005.0
20813,5639,27517,March,6909,5844,Montana,26452,33361,2006.0
22929,4874,23952,June,2289,6140,Montana,27803,30092,2006.0
24488,5867,22357,September,-2615,5383,Montana,30355,27740,2006.0
21482,5281,26544,December,6010,6229,Montana,26763,32773,2006.0
21236,5431,27488,March,6806,5985,Montana,26667,33473,2007.0
25037,6053,23942,June,-1481,5667,Montana,31090,29609,2007.0
24673,5398,23480,September,-669,5922,Montana,30071,29402,2007.0
22786,5373,25206,December,4453,7406,Montana,28159,32612,2007.0
24866,5895,25409,March,846,6198,Montana,30761,31607,2008.0
26887,5918,22129,June,-5163,5513,Montana,32805,27642,2008.0
24091,5249,22303,September,-1420,5617,Montana,29340,27920,2008.0
25201,6125,21416,December,-3533,6377,Montana,31326,27793,2008.0
29005,7145,19297,March,-11681,5172,Montana,36150,24469,2009.0
23650,6159,20901,June,-2912,5996,Montana,29809,26897,2009.0
22434,5245,20032,September,-2190,5457,Montana,27679,25489,2009.0
23057,5556,22166,December,-559,5888,Montana,28613,28054,2009.0
21990,6042,20820,March,-1820,5392,Montana,28032,26212,2010.0
20685,5695,21006,June,436,5810,Montana,26380,26816,2010.0
19934,5170,21733,September,2162,5533,Montana,25104,27266,2010.0
22103,5366,21159,December,-221,6089,Montana,27469,27248,2010.0
19202,5556,20498,March,349,4609,Montana,24758,25107,2011.0
20580,5085,21419,June,1640,5886,Montana,25665,27305,2011.0
19474,4712,23246,September,4797,5737,Montana,24186,28983,2011.0
21286,5463,22095,December,1636,6290,Montana,26749,28385,2011.0
20483,5612,22308,March,1480,5267,Montana,26095,27575,2012.0
21303,4972,22799,June,2530,6006,Montana,26275,28805,2012.0
20620,5050,21726,September,1905,5849,Montana,25670,27575,2012.0
21417,5938,22649,December,1566,6272,Montana,27355,28921,2012.0
21196,5515,22796,March,2069,5984,Montana,26711,28780,2013.0
22361,5063,22710,June,1062,5776,Montana,27424,28486,2013.0
21872,5034,21749,September,563,5720,Montana,26906,27469,2013.0
21349,5316,23282,December,2852,6235,Montana,26665,29517,2013.0
21510,7106,21050,March,-2390,5176,Montana,28616,26226,2014.0
21565,5769,23286,June,2058,6106,Montana,27334,29392,2014.0
23229,5562,22317,September,167,6641,Montana,28791,28958,2014.0
20641,8310,24188,December,1561,6324,Montana,28951,30512,2014.0
21205,5159,22604,March,7211,10971,Montana,26364,33575,2015.0
22621,8089,23438,June,-1519,5753,Montana,30710,29191,2015.0
22891,5234,21651,September,-214,6260,Montana,28125,27911,2015.0
21945,4830,24821,December,4722,6676,Montana,26775,31497,2015.0
21563,5716,24039,March,1812,5052,Montana,27279,29091,2016.0
24638,7348,22735,June,-2427,6824,Montana,31986,29559,2016.0
22546,6057,22329,September,-226,6048,Montana,28603,28377,2016.0
22356,5486,22840,December,1234,6236,Montana,27842,29076,2016.0
21426,5375,24872,March,3547,5476,Montana,26801,30348,2017.0
23506,5600,23653,June,586,6039,Montana,29106,29692,2017.0
23417,6320,21216,September,-2930,5591,Montana,29737,26807,2017.0
22036,5725,25019,December,4066,6808,Montana,27761,31827,2017.0
31538,6392,38698,September,7902,7134,Nebraska,37930,45832,1992.0
34587,6785,32280,December,-1968,7124,Nebraska,41372,39404,1992.0
31648,5312,35146,March,5126,6940,Nebraska,36960,42086,1993.0
30728,6590,37478,June,6479,6319,Nebraska,37318,43797,1993.0
33338,7092,40126,September,7569,7873,Nebraska,40430,47999,1993.0
35470,7272,39113,December,3876,7505,Nebraska,42742,46618,1993.0
36910,6766,37789,March,3277,9164,Nebraska,43676,46953,1994.0
31844,9181,38937,June,10875,12963,Nebraska,41025,51900,1994.0
33325,6255,39964,September,7578,7194,Nebraska,39580,47158,1994.0
33906,6038,36245,December,4284,7983,Nebraska,39944,44228,1994.0
32726,8015,50877,March,17473,7337,Nebraska,40741,58214,1995.0
36075,9931,37649,June,-1589,6768,Nebraska,46006,44417,1995.0
35371,6896,40338,September,5371,7300,Nebraska,42267,47638,1995.0
35222,10562,41391,December,3305,7698,Nebraska,45784,49089,1995.0
34481,10987,43953,March,14078,15593,Nebraska,45468,59546,1996.0
39844,6129,36307,June,-3318,6348,Nebraska,45973,42655,1996.0
35846,6801,37984,September,3028,7691,Nebraska,42647,45675,1996.0
34891,6687,39772,December,4689,6495,Nebraska,41578,46267,1996.0
35558,6581,41684,March,10572,11027,Nebraska,42139,52711,1997.0
39803,6145,38169,June,-1470,6309,Nebraska,45948,44478,1997.0
36315,8547,40367,September,4896,9391,Nebraska,44862,49758,1997.0
36768,6409,40978,December,6202,8401,Nebraska,43177,49379,1997.0
37332,7117,40632,March,3080,6897,Nebraska,44449,47529,1998.0
34934,7720,42137,June,8007,8524,Nebraska,42654,50661,1998.0
38279,6714,44449,September,5744,6288,Nebraska,44993,50737,1998.0
35298,7898,42293,December,6605,7508,Nebraska,43196,49801,1998.0
40274,8109,39732,March,-1014,7637,Nebraska,48383,47369,1999.0
37903,7719,41054,June,4059,8627,Nebraska,45622,49681,1999.0
37284,7902,39720,September,3513,8979,Nebraska,45186,48699,1999.0
36058,7847,42080,December,5999,7824,Nebraska,43905,49904,1999.0
39926,9224,46206,March,4611,7555,Nebraska,49150,53761,2000.0
40035,7054,45374,June,8015,9730,Nebraska,47089,55104,2000.0
42677,11401,39744,September,-3650,10684,Nebraska,54078,50428,2000.0
40194,7127,39638,December,1271,8954,Nebraska,47321,48592,2000.0
42207,9897,38766,March,-948,12390,Nebraska,52104,51156,2001.0
46669,6531,40950,June,-3208,9042,Nebraska,53200,49992,2001.0
40297,8457,35983,September,-2587,10184,Nebraska,48754,46167,2001.0
40635,8268,38133,December,-2032,8738,Nebraska,48903,46871,2001.0
44185,6652,36511,March,-6500,7826,Nebraska,50837,44337,2002.0
37943,7231,37572,June,1652,9254,Nebraska,45174,46826,2002.0
38340,6892,36353,September,-1371,7508,Nebraska,45232,43861,2002.0
38779,7155,36495,December,-2632,6807,Nebraska,45934,43302,2002.0
39653,7895,38796,March,751,9503,Nebraska,47548,48299,2003.0
37285,6619,36641,June,405,7668,Nebraska,43904,44309,2003.0
35278,6130,37789,September,3212,6831,Nebraska,41408,44620,2003.0
35841,6594,36562,December,1336,7209,Nebraska,42435,43771,2003.0
38775,7345,37357,March,661,9424,Nebraska,46120,46781,2004.0
35164,6134,37936,June,4264,7626,Nebraska,41298,45562,2004.0
36990,7301,37621,September,425,7095,Nebraska,44291,44716,2004.0
36361,5911,37558,December,2902,7616,Nebraska,42272,45174,2004.0
36767,6769,40737,March,5137,7936,Nebraska,43536,48673,2005.0
37247,7954,37458,June,-569,7174,Nebraska,45201,44632,2005.0
37675,6352,37229,September,1874,8672,Nebraska,44027,45901,2005.0
36009,6201,37263,December,1536,6483,Nebraska,42210,43746,2005.0
35125,6335,39565,March,4958,6853,Nebraska,41460,46418,2006.0
38983,6972,38064,June,144,8035,Nebraska,45955,46099,2006.0
38587,5970,39489,September,2334,7402,Nebraska,44557,46891,2006.0
37354,7135,40552,December,3771,7708,Nebraska,44489,48260,2006.0
37840,6353,40732,March,3934,7395,Nebraska,44193,48127,2007.0
38471,6741,40960,June,3009,7261,Nebraska,45212,48221,2007.0
37453,6484,40916,September,4822,7843,Nebraska,43937,48759,2007.0
39928,6437,39792,December,1771,8344,Nebraska,46365,48136,2007.0
36989,6627,42146,March,5167,6637,Nebraska,43616,48783,2008.0
41100,7752,36772,June,-4682,7398,Nebraska,48852,44170,2008.0
38621,6434,36192,September,194,9057,Nebraska,45055,45249,2008.0
41955,7487,36589,December,-5888,6965,Nebraska,49442,43554,2008.0
44222,6661,33215,March,-11608,6060,Nebraska,50883,39275,2009.0
41825,6365,32682,June,-9215,6293,Nebraska,48190,38975,2009.0
35030,6853,33559,September,-2369,5955,Nebraska,41883,39514,2009.0
38831,6495,33519,December,-5344,6463,Nebraska,45326,39982,2009.0
36456,5902,34179,March,-1731,6448,Nebraska,42358,40627,2010.0
33934,6067,36921,June,4191,7271,Nebraska,40001,44192,2010.0
35042,6568,35718,September,1551,7443,Nebraska,41610,43161,2010.0
35356,6310,35214,December,479,6931,Nebraska,41666,42145,2010.0
34303,5767,34146,March,1089,7013,Nebraska,40070,41159,2011.0
34250,6392,35893,June,1872,6621,Nebraska,40642,42514,2011.0
33956,5690,36610,September,3208,6244,Nebraska,39646,42854,2011.0
34012,6206,36278,December,3347,7287,Nebraska,40218,43565,2011.0
32371,5887,37092,March,10651,11817,Nebraska,38258,48909,2012.0
33570,6525,36764,June,4737,8068,Nebraska,40095,44832,2012.0
35202,7208,35743,September,938,7605,Nebraska,42410,43348,2012.0
34020,7333,37645,December,4460,8168,Nebraska,41353,45813,2012.0
35286,6744,35022,March,222,7230,Nebraska,42030,42252,2013.0
34988,6679,37648,June,4507,8526,Nebraska,41667,46174,2013.0
36128,7690,39180,September,4262,8900,Nebraska,43818,48080,2013.0
37345,6962,39420,December,4769,9656,Nebraska,44307,49076,2013.0
37808,6637,37355,March,1003,8093,Nebraska,44445,45448,2014.0
37272,8688,39045,June,1570,8485,Nebraska,45960,47530,2014.0
37207,7688,38333,September,2213,8775,Nebraska,44895,47108,2014.0
35648,8263,41280,December,5633,8264,Nebraska,43911,49544,2014.0
37862,7343,39801,March,3492,8896,Nebraska,45205,48697,2015.0
36945,7987,39224,June,2517,8225,Nebraska,44932,47449,2015.0
36781,8226,39239,September,2783,8551,Nebraska,45007,47790,2015.0
37023,7146,40445,December,5078,8802,Nebraska,44169,49247,2015.0
37432,7305,39384,March,2621,7974,Nebraska,44737,47358,2016.0
38499,9213,37189,June,-1929,8594,Nebraska,47712,45783,2016.0
38692,8623,42213,September,4174,9276,Nebraska,47315,51489,2016.0
39745,10244,37412,December,-3831,8746,Nebraska,49989,46158,2016.0
34899,7137,39244,March,6314,9106,Nebraska,42036,48350,2017.0
40203,8763,37380,June,-3708,7878,Nebraska,48966,45258,2017.0
38932,8824,38873,September,-276,8607,Nebraska,47756,47480,2017.0
35900,8672,41170,December,5845,9247,Nebraska,44572,50417,2017.0
31538,6392,38698,September,7902,7134,Nebraska,37930,45832,1992.0
34587,6785,32280,December,-1968,7124,Nebraska,41372,39404,1992.0
31648,5312,35146,March,5126,6940,Nebraska,36960,42086,1993.0
30728,6590,37478,June,6479,6319,Nebraska,37318,43797,1993.0
33338,7092,40126,September,7569,7873,Nebraska,40430,47999,1993.0
35470,7272,39113,December,3876,7505,Nebraska,42742,46618,1993.0
36910,6766,37789,March,3277,9164,Nebraska,43676,46953,1994.0
31844,9181,38937,June,10875,12963,Nebraska,41025,51900,1994.0
33325,6255,39964,September,7578,7194,Nebraska,39580,47158,1994.0
33906,6038,36245,December,4284,7983,Nebraska,39944,44228,1994.0
32726,8015,50877,March,17473,7337,Nebraska,40741,58214,1995.0
36075,9931,37649,June,-1589,6768,Nebraska,46006,44417,1995.0
35371,6896,40338,September,5371,7300,Nebraska,42267,47638,1995.0
35222,10562,41391,December,3305,7698,Nebraska,45784,49089,1995.0
34481,10987,43953,March,14078,15593,Nebraska,45468,59546,1996.0
39844,6129,36307,June,-3318,6348,Nebraska,45973,42655,1996.0
35846,6801,37984,September,3028,7691,Nebraska,42647,45675,1996.0
34891,6687,39772,December,4689,6495,Nebraska,41578,46267,1996.0
35558,6581,41684,March,10572,11027,Nebraska,42139,52711,1997.0
39803,6145,38169,June,-1470,6309,Nebraska,45948,44478,1997.0
36315,8547,40367,September,4896,9391,Nebraska,44862,49758,1997.0
36768,6409,40978,December,6202,8401,Nebraska,43177,49379,1997.0
37332,7117,40632,March,3080,6897,Nebraska,44449,47529,1998.0
34934,7720,42137,June,8007,8524,Nebraska,42654,50661,1998.0
38279,6714,44449,September,5744,6288,Nebraska,44993,50737,1998.0
35298,7898,42293,December,6605,7508,Nebraska,43196,49801,1998.0
40274,8109,39732,March,-1014,7637,Nebraska,48383,47369,1999.0
37903,7719,41054,June,4059,8627,Nebraska,45622,49681,1999.0
37284,7902,39720,September,3513,8979,Nebraska,45186,48699,1999.0
36058,7847,42080,December,5999,7824,Nebraska,43905,49904,1999.0
39926,9224,46206,March,4611,7555,Nebraska,49150,53761,2000.0
40035,7054,45374,June,8015,9730,Nebraska,47089,55104,2000.0
42677,11401,39744,September,-3650,10684,Nebraska,54078,50428,2000.0
40194,7127,39638,December,1271,8954,Nebraska,47321,48592,2000.0
42207,9897,38766,March,-948,12390,Nebraska,52104,51156,2001.0
46669,6531,40950,June,-3208,9042,Nebraska,53200,49992,2001.0
40297,8457,35983,September,-2587,10184,Nebraska,48754,46167,2001.0
40635,8268,38133,December,-2032,8738,Nebraska,48903,46871,2001.0
44185,6652,36511,March,-6500,7826,Nebraska,50837,44337,2002.0
37943,7231,37572,June,1652,9254,Nebraska,45174,46826,2002.0
38340,6892,36353,September,-1371,7508,Nebraska,45232,43861,2002.0
38779,7155,36495,December,-2632,6807,Nebraska,45934,43302,2002.0
39653,7895,38796,March,751,9503,Nebraska,47548,48299,2003.0
37285,6619,36641,June,405,7668,Nebraska,43904,44309,2003.0
35278,6130,37789,September,3212,6831,Nebraska,41408,44620,2003.0
35841,6594,36562,December,1336,7209,Nebraska,42435,43771,2003.0
38775,7345,37357,March,661,9424,Nebraska,46120,46781,2004.0
35164,6134,37936,June,4264,7626,Nebraska,41298,45562,2004.0
36990,7301,37621,September,425,7095,Nebraska,44291,44716,2004.0
36361,5911,37558,December,2902,7616,Nebraska,42272,45174,2004.0
36767,6769,40737,March,5137,7936,Nebraska,43536,48673,2005.0
37247,7954,37458,June,-569,7174,Nebraska,45201,44632,2005.0
37675,6352,37229,September,1874,8672,Nebraska,44027,45901,2005.0
36009,6201,37263,December,1536,6483,Nebraska,42210,43746,2005.0
35125,6335,39565,March,4958,6853,Nebraska,41460,46418,2006.0
38983,6972,38064,June,144,8035,Nebraska,45955,46099,2006.0
38587,5970,39489,September,2334,7402,Nebraska,44557,46891,2006.0
37354,7135,40552,December,3771,7708,Nebraska,44489,48260,2006.0
37840,6353,40732,March,3934,7395,Nebraska,44193,48127,2007.0
38471,6741,40960,June,3009,7261,Nebraska,45212,48221,2007.0
37453,6484,40916,September,4822,7843,Nebraska,43937,48759,2007.0
39928,6437,39792,December,1771,8344,Nebraska,46365,48136,2007.0
36989,6627,42146,March,5167,6637,Nebraska,43616,48783,2008.0
41100,7752,36772,June,-4682,7398,Nebraska,48852,44170,2008.0
38621,6434,36192,September,194,9057,Nebraska,45055,45249,2008.0
41955,7487,36589,December,-5888,6965,Nebraska,49442,43554,2008.0
44222,6661,33215,March,-11608,6060,Nebraska,50883,39275,2009.0
41825,6365,32682,June,-9215,6293,Nebraska,48190,38975,2009.0
35030,6853,33559,September,-2369,5955,Nebraska,41883,39514,2009.0
38831,6495,33519,December,-5344,6463,Nebraska,45326,39982,2009.0
36456,5902,34179,March,-1731,6448,Nebraska,42358,40627,2010.0
33934,6067,36921,June,4191,7271,Nebraska,40001,44192,2010.0
35042,6568,35718,September,1551,7443,Nebraska,41610,43161,2010.0
35356,6310,35214,December,479,6931,Nebraska,41666,42145,2010.0
34303,5767,34146,March,1089,7013,Nebraska,40070,41159,2011.0
34250,6392,35893,June,1872,6621,Nebraska,40642,42514,2011.0
33956,5690,36610,September,3208,6244,Nebraska,39646,42854,2011.0
34012,6206,36278,December,3347,7287,Nebraska,40218,43565,2011.0
32371,5887,37092,March,10651,11817,Nebraska,38258,48909,2012.0
33570,6525,36764,June,4737,8068,Nebraska,40095,44832,2012.0
35202,7208,35743,September,938,7605,Nebraska,42410,43348,2012.0
34020,7333,37645,December,4460,8168,Nebraska,41353,45813,2012.0
35286,6744,35022,March,222,7230,Nebraska,42030,42252,2013.0
34988,6679,37648,June,4507,8526,Nebraska,41667,46174,2013.0
36128,7690,39180,September,4262,8900,Nebraska,43818,48080,2013.0
37345,6962,39420,December,4769,9656,Nebraska,44307,49076,2013.0
37808,6637,37355,March,1003,8093,Nebraska,44445,45448,2014.0
37272,8688,39045,June,1570,8485,Nebraska,45960,47530,2014.0
37207,7688,38333,September,2213,8775,Nebraska,44895,47108,2014.0
35648,8263,41280,December,5633,8264,Nebraska,43911,49544,2014.0
37862,7343,39801,March,3492,8896,Nebraska,45205,48697,2015.0
36945,7987,39224,June,2517,8225,Nebraska,44932,47449,2015.0
36781,8226,39239,September,2783,8551,Nebraska,45007,47790,2015.0
37023,7146,40445,December,5078,8802,Nebraska,44169,49247,2015.0
37432,7305,39384,March,2621,7974,Nebraska,44737,47358,2016.0
38499,9213,37189,June,-1929,8594,Nebraska,47712,45783,2016.0
38692,8623,42213,September,4174,9276,Nebraska,47315,51489,2016.0
39745,10244,37412,December,-3831,8746,Nebraska,49989,46158,2016.0
34899,7137,39244,March,6314,9106,Nebraska,42036,48350,2017.0
40203,8763,37380,June,-3708,7878,Nebraska,48966,45258,2017.0
38932,8824,38873,September,-276,8607,Nebraska,47756,47480,2017.0
35900,8672,41170,December,5845,9247,Nebraska,44572,50417,2017.0
31096,12487,38942,September,8092,12733,Nevada,43583,51675,1992.0
34228,8360,32524,December,-108,9956,Nevada,42588,42480,1992.0
32324,7079,36244,March,7484,10643,Nevada,39403,46887,1993.0
30522,7779,38732,June,9970,9539,Nevada,38301,48271,1993.0
31875,9322,41885,September,11459,10771,Nevada,41197,52656,1993.0
34774,8052,51138,December,19592,11280,Nevada,42826,62418,1993.0
34927,8499,41816,March,20498,22108,Nevada,43426,63924,1994.0
34295,8449,45662,June,15907,12989,Nevada,42744,58651,1994.0
37664,8980,48629,September,17082,15097,Nevada,46644,63726,1994.0
38386,9092,45869,December,8008,9617,Nevada,47478,55486,1994.0
42931,11702,48610,March,8932,14955,Nevada,54633,63565,1995.0
42820,10546,46122,June,8806,16050,Nevada,53366,62172,1995.0
40518,9086,50961,September,15611,14254,Nevada,49604,65215,1995.0
41380,10875,48012,December,8723,12966,Nevada,52255,60978,1995.0
40656,13409,49843,March,13860,18082,Nevada,54065,67925,1996.0
41216,10088,52856,June,17474,15922,Nevada,51304,68778,1996.0
42494,11069,53754,September,14646,14455,Nevada,53563,68209,1996.0
45010,9927,49398,December,9459,14998,Nevada,54937,64396,1996.0
47482,11689,56606,March,13097,15662,Nevada,59171,72268,1997.0
49819,12150,48909,June,2499,15559,Nevada,61969,64468,1997.0
46080,8269,52817,September,13625,15157,Nevada,54349,67974,1997.0
45753,12055,51637,December,5885,12056,Nevada,57808,63693,1997.0
49777,9275,47479,March,614,12187,Nevada,59052,59666,1998.0
44283,11895,53131,June,9385,12432,Nevada,56178,65563,1998.0
45146,9701,55008,September,11041,10880,Nevada,54847,65888,1998.0
50359,8355,62638,December,16921,12997,Nevada,58714,75635,1998.0
49308,9678,58412,March,16550,17124,Nevada,58986,75536,1999.0
53960,9835,58146,June,7611,13260,Nevada,63795,71406,1999.0
51911,10393,60599,September,10145,11850,Nevada,62304,72449,1999.0
45534,11481,57241,December,12853,12627,Nevada,57015,69868,1999.0
52278,10471,54325,March,5065,13489,Nevada,62749,67814,2000.0
48480,12298,59982,June,10736,11532,Nevada,60778,71514,2000.0
50983,12570,61787,September,12167,13933,Nevada,63553,75720,2000.0
50912,10770,56564,December,6116,11234,Nevada,61682,67798,2000.0
49992,12503,61672,March,13491,14314,Nevada,62495,75986,2001.0
56202,12115,52394,June,-4000,11923,Nevada,68317,64317,2001.0
54997,12416,51355,September,-2722,13336,Nevada,67413,64691,2001.0
67847,12242,50853,December,-17534,11702,Nevada,80089,62555,2001.0
52943,10921,57002,March,6818,13680,Nevada,63864,70682,2002.0
51363,11423,53828,June,4155,13113,Nevada,62786,66941,2002.0
49238,11614,55105,September,7878,13625,Nevada,60852,68730,2002.0
52181,12350,53915,December,3413,14029,Nevada,64531,67944,2002.0
48099,13297,62073,March,13677,13000,Nevada,61396,75073,2003.0
56343,10146,52854,June,-540,13095,Nevada,66489,65949,2003.0
45324,10061,61236,September,18953,13102,Nevada,55385,74338,2003.0
47619,9831,60011,December,15326,12765,Nevada,57450,72776,2003.0
48531,11035,59503,March,13743,13806,Nevada,59566,73309,2004.0
48888,12712,67895,June,20098,13803,Nevada,61600,81698,2004.0
53658,10269,67588,September,17186,13525,Nevada,63927,81113,2004.0
51278,10770,65022,December,17770,14796,Nevada,62048,79818,2004.0
53697,10029,64100,March,12636,12262,Nevada,63726,76362,2005.0
56057,9861,70812,June,16661,11767,Nevada,65918,82579,2005.0
52106,9554,68810,September,19267,12117,Nevada,61660,80927,2005.0
57158,10091,68710,December,13586,12125,Nevada,67249,80835,2005.0
55435,10205,71240,March,18282,12682,Nevada,65640,83922,2006.0
63913,9468,66295,June,6249,13335,Nevada,73381,79630,2006.0
65679,11189,62129,September,-2043,12696,Nevada,76868,74825,2006.0
66720,10632,65767,December,1202,12787,Nevada,77352,78554,2006.0
61575,10002,67123,March,9169,13623,Nevada,71577,80746,2007.0
66343,11516,61503,June,-3457,12899,Nevada,77859,74402,2007.0
71541,11135,57833,September,-12552,12291,Nevada,82676,70124,2007.0
67474,10464,70594,December,7309,14653,Nevada,77938,85247,2007.0
71523,16204,63567,March,-10802,13358,Nevada,87727,76925,2008.0
72269,12988,59867,June,-13538,11852,Nevada,85257,71719,2008.0
75217,12538,55255,September,-20750,11750,Nevada,87755,67005,2008.0
86671,14474,49968,December,-39536,11641,Nevada,101145,61609,2008.0
79358,13676,43583,March,-38933,10518,Nevada,93034,54101,2009.0
70560,11579,44756,June,-27006,10377,Nevada,82139,55133,2009.0
60516,12985,49226,September,-13821,10454,Nevada,73501,59680,2009.0
56034,10771,58632,December,2624,10797,Nevada,66805,69429,2009.0
55517,10477,42351,March,-14670,8973,Nevada,65994,51324,2010.0
45597,9760,50752,June,5632,10237,Nevada,55357,60989,2010.0
52219,10427,45472,September,-6751,10423,Nevada,62646,55895,2010.0
48351,9967,56899,December,10026,11445,Nevada,58318,68344,2010.0
46750,9614,47751,March,1115,9728,Nevada,56364,57479,2011.0
46953,8186,51337,June,6190,9992,Nevada,55139,61329,2011.0
46800,10504,50029,September,2919,10194,Nevada,57304,60223,2011.0
44813,10493,46104,December,1873,11075,Nevada,55306,57179,2011.0
43939,9209,48084,March,5175,10239,Nevada,53148,58323,2012.0
44119,8953,52173,June,9655,10554,Nevada,53072,62727,2012.0
47838,9231,48572,September,1291,9788,Nevada,57069,58360,2012.0
46459,9901,49982,December,3838,10216,Nevada,56360,60198,2012.0
45046,9175,52842,March,8750,10129,Nevada,54221,62971,2013.0
47643,8718,54754,June,11083,12690,Nevada,56361,67444,2013.0
49664,9018,51220,September,2527,9989,Nevada,58682,61209,2013.0
45341,8718,52911,December,9782,10930,Nevada,54059,63841,2013.0
46104,8900,58840,March,13569,9733,Nevada,55004,68573,2014.0
50160,9206,58446,June,10398,11318,Nevada,59366,69764,2014.0
50440,9678,58666,September,9679,11131,Nevada,60118,69797,2014.0
